Id,Name,Nationality,CountryCode,City,Role,BattingStyle,BowlingStyle,WicketKeeper,Teams,URL
64987,Botheju,Kuwait,KW,Kuwait City,Batting All Rounder,Left Handed,Leg break (right-arm),False,NCM Sports Club; AP XI,https://crickslab.com/match-central/player-details/64987/wendar-botheju/417b6da2-0510-11ec-8ec4-020b0df72d16/overview
65977,Khadar,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium,False,Saipem Dominators; Dominators Alleppey,https://crickslab.com/match-central/player-details/65977/khadar-vali/4237f601-0510-11ec-8ec4-020b0df72d16/overview
65209,Vasudev,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Right-arm fast medium,False,ARAB ISLAMIC INSURANCE - DW; Mysterious XI,https://crickslab.com/match-central/player-details/65209/vasudev-datla/41a4e750-0510-11ec-8ec4-020b0df72d16/overview
65590,Nithin,Kuwait,KW,Kuwait City,Bowling All Rounder,Left Handed,Off break (right-arm),False,GAT; VIKINGS CC,https://crickslab.com/match-central/player-details/65590/nithin-samuel/41ec123e-0510-11ec-8ec4-020b0df72d16/overview
129,Babar,Pakistan,PK,Lahore,Batter,Right Handed,Off break (right-arm),False,KARACHI KINGS; LAHORE SAINTS,https://crickslab.com/match-central/player-details/129/babar-azam/527d4f6b-310e-11e9-a30a-0641fc4bdf02/overview
201909,Jameel,Pakistan,PK,Multan,All Rounder,Right Handed,Right-arm fast medium,False,Zawari Academy Multan; Zawari Cricket Academy,https://crickslab.com/match-central/player-details/201909/jameel/854dba81-6d6f-11ee-8e3a-0a0353ccc989/overview
65542,Nimish,Kuwait,KW,Kuwait City,All Rounder,Left Handed,Off break (right-arm),False,NCM Investment; AP XI,https://crickslab.com/match-central/player-details/65542/nimish-latheif/41e3e690-0510-11ec-8ec4-020b0df72d16/overview
65676,Usman,Kuwait,KW,Kuwait City,Batter,Right Handed,Off break (right-arm),False,KBE Kuwait Eagles; Kuwait Swedish,https://crickslab.com/match-central/player-details/65676/usman-gani/41fc88a8-0510-11ec-8ec4-020b0df72d16/overview
66285,Yasin,Kuwait,KW,Kuwait City,Bowler,Left Handed,Slow left-arm orthodox,False,Kuwait Swedish; Saipem Dominators,https://crickslab.com/match-central/player-details/66285/yasin-patel/427062e0-0510-11ec-8ec4-020b0df72d16/overview
64967,NABEEL G,Kuwait,KW,Kuwait City,All Rounder,Left Handed,Slow left-arm orthodox,False,Ahli United Bank; Maahas Dragons,https://crickslab.com/match-central/player-details/64967/nabeel-ghafoor/41779cab-0510-11ec-8ec4-020b0df72d16/overview
65691,Nichel,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,Ai-OCTOPUS CHALLENGERS; Pathanamthitta Smashers,https://crickslab.com/match-central/player-details/65691/nichel-prakash/41ff62ea-0510-11ec-8ec4-020b0df72d16/overview
64685,Raheel,Kuwait,KW,Kuwait City,Bowler,Right Handed,Right-arm medium fast,False,Kuwait Mavericks CC; Kala XI,https://crickslab.com/match-central/player-details/64685/raheel-khan/41423ef5-0510-11ec-8ec4-020b0df72d16/overview
64958,Ajith,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Off break (right-arm),False,Behbehani Motors Company; Cool Boys,https://crickslab.com/match-central/player-details/64958/ajith-kumara/4175bf7a-0510-11ec-8ec4-020b0df72d16/overview
64114,Atif,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,TALLY CC; Al Hamaad Sons,https://crickslab.com/match-central/player-details/64114/atif-mazhar/40d712cd-0510-11ec-8ec4-020b0df72d16/overview
65674,Aslam,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Slow left-arm orthodox,False,KBE Kuwait Eagles; Titans CC,https://crickslab.com/match-central/player-details/65674/mohamed-aslam/41fc866f-0510-11ec-8ec4-020b0df72d16/overview
66008,Bilal,Kuwait,KW,Kuwait City,Batter,Left Handed,Off break (right-arm),False,Ecovert FM; EcovertFM,https://crickslab.com/match-central/player-details/66008/bilal-tahir/423d814c-0510-11ec-8ec4-020b0df72d16/overview
64449,Khalid,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Off break (right-arm),False,Kuwait Mavericks CC; STAR XI,https://crickslab.com/match-central/player-details/64449/khalid-butt/4115344c-0510-11ec-8ec4-020b0df72d16/overview
65425,Shibu Raj,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Leg break (right-arm),False,Challenging Strikers Kochi; Angamaly Warriors,https://crickslab.com/match-central/player-details/65425/shibu-raj/41cd3fca-0510-11ec-8ec4-020b0df72d16/overview
65422,Gayaz,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Off break (right-arm),False,ARAB ISLAMIC INSURANCE - DW; Kollam Titans,https://crickslab.com/match-central/player-details/65422/abdul-gayaz/41cd38aa-0510-11ec-8ec4-020b0df72d16/overview
212399,Haider,Pakistan,PK,Multan,All Rounder,Right Handed,Leg break (right-arm),False,Khaira Cricket Club; Zawari Qalandars,https://crickslab.com/match-central/player-details/212399/haider/ce7ce51a-93f4-11ee-8e3a-0a0353ccc989/overview
82,Shadab,Pakistan,PK,Lahore,Batter,Right Handed,Leg break (right-arm),False,ISLAMABAD UNITED; DIAMOND CC ISLAMABAD,https://crickslab.com/match-central/player-details/82/shadab-khan/c8998257-3074-11e9-a30a-0641fc4bdf02/overview
6623,AZHAR,Pakistan,PK,Rahimyar Khan,All Rounder,Right Handed,Right-arm fast,False,ZCC; Zawari Youngsters,https://crickslab.com/match-central/player-details/6623/azhar-multani/c7fa2c72-54a1-11ea-9c60-02d950faea96/overview
155364,Burhan,Pakistan,PK,Multan,All Rounder,Left Handed,Slow left-arm orthodox,False,Zawari Green; Khaira Cricket Club,https://crickslab.com/match-central/player-details/155364/burhan/20fd560a-94c2-11ed-a593-020b0df72d16/overview
66038,Hamoud,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Slow left-arm orthodox,False,Stack CC; IFFCO U19,https://crickslab.com/match-central/player-details/66038/hamoud-amanullah/4242ebde-0510-11ec-8ec4-020b0df72d16/overview
63882,Hasan,Kuwait,KW,Kuwait City,All Rounder,Left Handed,Leg break (right-arm),False,Ecovert FM; EcovertFM,https://crickslab.com/match-central/player-details/63882/hasan-arif/40a86257-0510-11ec-8ec4-020b0df72d16/overview
143,Rizwan,Pakistan,PK,Lahore,Batter,Right Handed,Right-arm medium,False,KARACHI KINGS; MULTAN SULTANS,https://crickslab.com/match-central/player-details/143/m-rizwan/21b60758-3111-11e9-a30a-0641fc4bdf02/overview
89622,Hamza,Pakistan,PK,Lodhran,All Rounder,Right Handed,Left-arm slow,False,Jahanzaib Sports Academy; Zawari Academy Multan,https://crickslab.com/match-central/player-details/89622/hamza/20c5b79b-6874-11ec-83fb-020b0df72d16/overview
65309,Sreejith,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium fast,False,Cochin Hurricanes; Zong 4G,https://crickslab.com/match-central/player-details/65309/sreejith-nair/41b7c4c3-0510-11ec-8ec4-020b0df72d16/overview
65155,Arun Raj,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Right-arm medium,False,Cochin Hurricanes; HERO 11 CC,https://crickslab.com/match-central/player-details/65155/arun-raj/419aab4b-0510-11ec-8ec4-020b0df72d16/overview
70,Fakhar,Pakistan,PK,Lahore,Batter,Left Handed,Slow left-arm orthodox,False,LAHORE QALANDARS; Pak Heros,https://crickslab.com/match-central/player-details/70/fakhar-zaman/830d9871-306c-11e9-a30a-0641fc4bdf02/overview
65659,Sankar V,Kuwait,KW,Kuwait City,Batter,Right Handed,Off break (right-arm),False,Titans CC; Kannur Royal Masters,https://crickslab.com/match-central/player-details/65659/sankar-varathappan/41f9a842-0510-11ec-8ec4-020b0df72d16/overview
65561,Nithin,Kuwait,KW,Kuwait City,Batter,Right Handed,Off break (right-arm),False,Scorpions Kuwait; AlHajery Team XI,https://crickslab.com/match-central/player-details/65561/nithin-saldanha/41e6962b-0510-11ec-8ec4-020b0df72d16/overview
135,Iftikhar,Pakistan,PK,Lahore,All Rounder,Right Handed,Off break (right-arm),False,KARACHI KINGS; ISLAMABAD UNITED,https://crickslab.com/match-central/player-details/135/iftikhar-ahmed/fc6ec0ac-310e-11e9-a30a-0641fc4bdf02/overview
63895,Naiju,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium,False,Cochin Hurricanes; Angamaly Warriors,https://crickslab.com/match-central/player-details/63895/naiju-devassykutty/40aaba6e-0510-11ec-8ec4-020b0df72d16/overview
74607,Hassan,,,,Batter,Right Handed,N/A,False,Khaira Cricket Club; Zawari Unmarried,https://crickslab.com/match-central/player-details/74607/ali-hassan/ae557aea-2409-11ec-83fb-020b0df72d16/overview
65656,NASIR,Kuwait,KW,Kuwait City,Batter,Right Handed,Off break (right-arm),False,NCM Investment; Arabian Eagles Kozhikode,https://crickslab.com/match-central/player-details/65656/nasir-hussain/41f8b974-0510-11ec-8ec4-020b0df72d16/overview
100478,Zain,Pakistan,PK,Muzaffargarh,All Rounder,Right Handed,Leg break (right-arm),False,CNA Wolves; Zawari Academy Multan,https://crickslab.com/match-central/player-details/100478/zain/fd87c494-9142-11ec-a44c-020b0df72d16/overview
65919,AliZaheer,Kuwait,KW,Kuwait City,Batting All Rounder,Left Handed,Off break (right-arm),False,Scorpions Kuwait; Kuwait Swedish,https://crickslab.com/match-central/player-details/65919/ali-zaheeruddin/422bf912-0510-11ec-8ec4-020b0df72d16/overview
64470,Zahid,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Right-arm medium,False,Kuwait Finance House; Napesco CC,https://crickslab.com/match-central/player-details/64470/zahid-khan/41190bd5-0510-11ec-8ec4-020b0df72d16/overview
101,Haris,Pakistan,PK,Lahore,Bowler,Right Handed,Right-arm fast,False,LAHORE QALANDARS; 'PAKISTAN',https://crickslab.com/match-central/player-details/101/haris-rauf/a167ff63-3077-11e9-a30a-0641fc4bdf02/overview
65818,Asanka,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium,False,KBE Kuwait Eagles; Kuwait Swedish,https://crickslab.com/match-central/player-details/65818/asanka-silva/42175ce0-0510-11ec-8ec4-020b0df72d16/overview
66312,Bijo,Kuwait,KW,Kuwait City,Bowler,Right Handed,Leg break (right-arm),False,Saipem Dominators; NCM Investment,https://crickslab.com/match-central/player-details/66312/bijo-philip/4275e987-0510-11ec-8ec4-020b0df72d16/overview
6625,Shafiq,Pakistan,PK,,All Rounder,Right Handed,Right-arm fast,False,ZCC; Cricket Legends,https://crickslab.com/match-central/player-details/6625/shafiq-ahmed/ec239622-54a1-11ea-9c60-02d950faea96/overview
65780,Nawaf,Kuwait,KW,Kuwait City,Batter,Left Handed,Right-arm medium,False,AlHajery Team XI; Cochin Hurricanes,https://crickslab.com/match-central/player-details/65780/nawaf-dadarkar/420ffeb7-0510-11ec-8ec4-020b0df72d16/overview
64797,Hisham,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Off break (right-arm),False,Kuwait Mavericks CC; Boubyan Bank,https://crickslab.com/match-central/player-details/64797/hisham-mirza/4157b56a-0510-11ec-8ec4-020b0df72d16/overview
65722,Hisham,Kuwait,KW,Kuwait City,All Rounder,Left Handed,Off break (right-arm),False,Ai-OCTOPUS CHALLENGERS; Saipem Dominators,https://crickslab.com/match-central/player-details/65722/mohamed-hisham/4205adce-0510-11ec-8ec4-020b0df72d16/overview
64996,Abid,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast medium,False,Kuwait Mavericks CC; Boubyan Bank,https://crickslab.com/match-central/player-details/64996/abid-mushtaq/417c69a8-0510-11ec-8ec4-020b0df72d16/overview
65392,KASHIF,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Off break (right-arm),False,Titans CC; Al Sayer,https://crickslab.com/match-central/player-details/65392/muhammad-kashif/41c7ae6f-0510-11ec-8ec4-020b0df72d16/overview
65605,Preetham,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,Toyota TGS; Scorpions Kuwait,https://crickslab.com/match-central/player-details/65605/preetham-dsouza/41eef300-0510-11ec-8ec4-020b0df72d16/overview
66068,Ahmed,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,MCA U19; U19 Kuwait,https://crickslab.com/match-central/player-details/66068/ahmed-mirza/42486d3d-0510-11ec-8ec4-020b0df72d16/overview
65823,Ravija,Kuwait,KW,Kuwait City,Batter,Right Handed,Off break (right-arm),False,KBE Kuwait Eagles; Kuwait Swedish,https://crickslab.com/match-central/player-details/65823/ravija-sandaruwan/42183668-0510-11ec-8ec4-020b0df72d16/overview
65518,Ahsan,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,AlHajery Team XI; Gulf Cable,https://crickslab.com/match-central/player-details/65518/ahsan-ul-haq/41df2a84-0510-11ec-8ec4-020b0df72d16/overview
65694,Khaliq,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Slow left-arm orthodox,False,NCM Investment; Stack CC,https://crickslab.com/match-central/player-details/65694/khaliq-anwar/42004a8a-0510-11ec-8ec4-020b0df72d16/overview
64970,Riasat,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Right-arm fast,False,Al Hamaad Sons; Tayab XI,https://crickslab.com/match-central/player-details/64970/riasat-ali-khan/4177a217-0510-11ec-8ec4-020b0df72d16/overview
65646,Ilyas,Kuwait,KW,Kuwait City,Batter,Left Handed,Left-arm fast,False,Ecovert FM; Arabian Eagles Kozhikode,https://crickslab.com/match-central/player-details/65646/ilyas-ahmed/41f6c88b-0510-11ec-8ec4-020b0df72d16/overview
65240,Ismail,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium,False,VIKINGS CC; Al Bader,https://crickslab.com/match-central/player-details/65240/ismail/41aad433-0510-11ec-8ec4-020b0df72d16/overview
65890,Aziz,Kuwait,KW,Kuwait City,Batter,Right Handed,Left-arm medium,False,VIKINGS CC; Karavali United,https://crickslab.com/match-central/player-details/65890/abdulaziz/422665d8-0510-11ec-8ec4-020b0df72d16/overview
65459,Naveen,Kuwait,KW,Kuwait City,Batter,Right Handed,Off break (right-arm),False,IKEA CC; Ecovert FM,https://crickslab.com/match-central/player-details/65459/naveen-jacob/41d3ca82-0510-11ec-8ec4-020b0df72d16/overview
73,Ali,Pakistan,PK,Lahore,Batter,Right Handed,Right-arm medium fast,False,ISLAMABAD UNITED; SAEED AJMAL INTERNATIONAL CRICKET ACADEMY,https://crickslab.com/match-central/player-details/73/asif-ali/0ab39d6f-3072-11e9-a30a-0641fc4bdf02/overview
65772,Aromal,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,GAT; Pathanamthitta Smashers,https://crickslab.com/match-central/player-details/65772/aromal-sivakumar/420f0c01-0510-11ec-8ec4-020b0df72d16/overview
4402,Muslim,Pakistan,PK,Lahore,Batter,Right Handed,Slow left-arm orthodox,False,Khaksar; MT Gladiators,https://crickslab.com/match-central/player-details/4402/muslim-ur-rehmaan/48458c43-344b-11ea-84d0-023cb8599700/overview
65936,Shiraz,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Leg break (right-arm),False,Saipem Dominators; Kannur Royal Masters,https://crickslab.com/match-central/player-details/65936/shiraz-khan/422eb408-0510-11ec-8ec4-020b0df72d16/overview
153439,Adeeb,Pakistan,PK,Multan,Batter,Right Handed,Right-arm fast,True,Khaira Cricket Club; Zawari Cricket Club Multan,https://crickslab.com/match-central/player-details/153439/adeeb/b5f298e3-8d99-11ed-a593-020b0df72d16/overview
65668,Farook,Kuwait,KW,Kuwait City,Batter,Right Handed,Off break (right-arm),False,Saipem Dominators; Enigma CC,https://crickslab.com/match-central/player-details/65668/m-farook/41fb88b9-0510-11ec-8ec4-020b0df72d16/overview
65236,JESTIN,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,Challenging Strikers Kochi; Angamaly Warriors,https://crickslab.com/match-central/player-details/65236/jestin-varghese/41a9c7c9-0510-11ec-8ec4-020b0df72d16/overview
6618,Waqar,Pakistan,PK,Lahore,Batter,Right Handed,Right-arm fast,False,ZCC; Zawari Youngsters,https://crickslab.com/match-central/player-details/6618/m.-waqar/8b38e8ae-54a1-11ea-9c60-02d950faea96/overview
65819,Saddam,Kuwait,KW,Kuwait City,Bowler,Right Handed,Right-arm medium,False,KRH CC; Challenging Strikers Kochi,https://crickslab.com/match-central/player-details/65819/saddam-mulla/42175e55-0510-11ec-8ec4-020b0df72d16/overview
65752,MANJULA,Kuwait,KW,Kuwait City,All Rounder,Left Handed,Slow left-arm orthodox,False,NCM Investment; Al Bader,https://crickslab.com/match-central/player-details/65752/manjula-prasan/420b6ce4-0510-11ec-8ec4-020b0df72d16/overview
4280,Nouman,Pakistan,PK,Lahore,Batter,Right Handed,Off break (right-arm),False,Chiniot United; UTM,https://crickslab.com/match-central/player-details/4280/nouman-tahir/2d6a3696-337b-11ea-84d0-023cb8599700/overview
80158,Zubair,,,,Batter,Right Handed,Right-arm fast,False,Khaira Cricket Club; Zawari Blue,https://crickslab.com/match-central/player-details/80158/zubair/6f126d6a-3ec1-11ec-83fb-020b0df72d16/overview
65472,Rijil,Kuwait,KW,Kuwait City,Batting All Rounder,Left Handed,Slow left-arm orthodox,False,Big Easy; Blue XI Riders,https://crickslab.com/match-central/player-details/65472/rijil-venugopal/41d6861a-0510-11ec-8ec4-020b0df72d16/overview
65437,Finny,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Right-arm medium,False,Cochin Hurricanes; Angamaly Warriors,https://crickslab.com/match-central/player-details/65437/finny-cherian/41cff3d6-0510-11ec-8ec4-020b0df72d16/overview
64929,Sajid,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,Scorpions Kuwait; Gujrat CC,https://crickslab.com/match-central/player-details/64929/sajid-mahmood/41703acb-0510-11ec-8ec4-020b0df72d16/overview
65257,Hashim,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Off break (right-arm),False,Ai-OCTOPUS CHALLENGERS; Pathanamthitta Smashers,https://crickslab.com/match-central/player-details/65257/hashim-mohamed/41ae5e71-0510-11ec-8ec4-020b0df72d16/overview
64125,Venkata,Kuwait,KW,Kuwait City,Batter,Right Handed,Slow left-arm orthodox,False,AlHajery Team XI; RSG Palakkad Falcons,https://crickslab.com/match-central/player-details/64125/venkata-babu/40d8f74e-0510-11ec-8ec4-020b0df72d16/overview
65826,Irfan,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium,False,Super XI; Burgan Bank,https://crickslab.com/match-central/player-details/65826/irfan-basha/42183a5f-0510-11ec-8ec4-020b0df72d16/overview
65677,Shahbaz,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,Scorpions Kuwait; Gujrat CC,https://crickslab.com/match-central/player-details/65677/shahbaz-ahmad/41fd6fd0-0510-11ec-8ec4-020b0df72d16/overview
65192,Sanu,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Right-arm medium,False,Saipem Dominators; Dominators Alleppey,https://crickslab.com/match-central/player-details/65192/sanu-stephen/41a2301f-0510-11ec-8ec4-020b0df72d16/overview
65050,Imran,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium,False,AlHajery Team XI; Napesco CC,https://crickslab.com/match-central/player-details/65050/imran-nawaz/4186f6c1-0510-11ec-8ec4-020b0df72d16/overview
65831,Harischandra,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Right-arm fast,False,CECC; Behbehani Motors Company,https://crickslab.com/match-central/player-details/65831/harischandra-priyakanth/42192df7-0510-11ec-8ec4-020b0df72d16/overview
64106,Sibtain,Kuwait,KW,Kuwait City,Bowler,Left Handed,Off break (right-arm),False,Scorpions Kuwait; Ahli United Bank,https://crickslab.com/match-central/player-details/64106/sibtain-raza/40d54fc1-0510-11ec-8ec4-020b0df72d16/overview
64123,Waqas,Kuwait,KW,Kuwait City,Bowler,Left Handed,Slow left-arm orthodox,False,AlHajery Team XI; Napesco CC,https://crickslab.com/match-central/player-details/64123/waqas-ali/40d8f475-0510-11ec-8ec4-020b0df72d16/overview
64615,Khan Wali,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm fast,False,Afghan XI CC; Afghanistan XI,https://crickslab.com/match-central/player-details/64615/khan-wali/4134b56f-0510-11ec-8ec4-020b0df72d16/overview
64730,Farhan,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Right-arm fast medium,False,Scorpions Kuwait; AlHajery Team XI,https://crickslab.com/match-central/player-details/64730/farhan-meer/414a9f1f-0510-11ec-8ec4-020b0df72d16/overview
65153,Rifkaz,Kuwait,KW,Kuwait City,Batter,Left Handed,Slow left-arm orthodox,False,Kuwait Mavericks CC; Al Sayer,https://crickslab.com/match-central/player-details/65153/rifkaz-mohamed/419aa868-0510-11ec-8ec4-020b0df72d16/overview
66076,Meet,Kuwait,KW,Kuwait City,Batter,Left Handed,Slow left-arm orthodox,False,MCA U19; Blue Star CC,https://crickslab.com/match-central/player-details/66076/meet-bhavsar/42496506-0510-11ec-8ec4-020b0df72d16/overview
65281,Jacob,Kuwait,KW,Kuwait City,Batter,Right Handed,Leg break (right-arm),False,Toyota TGS; SHAHEEN SPORT CLUB,https://crickslab.com/match-central/player-details/65281/jacob-john/41b1f240-0510-11ec-8ec4-020b0df72d16/overview
65989,YOUSUF,Kuwait,KW,Kuwait City,Bowler,Right Handed,Off break (right-arm),False,Young Stars; VIKINGS CC,https://crickslab.com/match-central/player-details/65989/yousuf-mohiuddin/4239de63-0510-11ec-8ec4-020b0df72d16/overview
65925,Shafeeq,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium,False,Saipem Dominators; Enigma CC,https://crickslab.com/match-central/player-details/65925/mohamed-shafeeq/422ce1b8-0510-11ec-8ec4-020b0df72d16/overview
66240,Clinto,Kuwait,KW,Kuwait City,Batter,Right Handed,Off break (right-arm),False,Cochin Hurricanes; Arabian Eagles Kozhikode,https://crickslab.com/match-central/player-details/66240/clinto-anto/4267ad3e-0510-11ec-8ec4-020b0df72d16/overview
